,epoch,Initial Train Accuracy,Initial Test Accuracy,Growth Train Accuracy,Growth Test Accuracy,Final Train Accuracy,Final Test Accuracy
0,0,21.727777777777778,22.183333333333334,21.614814814814814,21.983333333333334,24.65740740740741,24.883333333333333
1,1,36.431481481481484,37.766666666666666,35.737037037037034,37.13333333333333,31.983333333333334,32.3
2,2,52.25185185185185,53.4,52.224074074074075,53.55,39.99444444444445,40.733333333333334
3,3,70.50740740740741,70.65,70.82407407407408,71.05,65.04814814814814,65.68333333333334
4,4,76.6537037037037,77.36666666666666,76.33518518518518,77.1,75.70370370370371,75.73333333333333
5,5,80.28703703703704,81.21666666666667,79.31111111111112,79.86666666666666,81.37962962962963,81.2
6,6,82.67037037037036,83.26666666666667,80.98333333333333,81.63333333333334,84.14259259259259,84.16666666666667
7,7,84.48333333333333,85.1,82.27962962962962,82.95,85.6537037037037,85.46666666666667
8,8,85.92222222222222,86.56666666666666,83.14259259259259,83.96666666666667,86.65185185185184,86.6
9,9,86.86851851851851,86.9,83.97037037037038,84.9,87.34074074074074,87.2
10,10,87.72222222222223,87.88333333333334,84.69444444444444,85.53333333333333,87.87962962962963,87.7
11,11,88.41111111111111,88.41666666666667,85.17777777777778,85.95,88.27962962962962,88.21666666666667
12,12,88.89074074074074,89.06666666666666,85.63518518518518,86.35,88.80740740740741,88.95
13,13,89.39074074074074,89.36666666666666,86.12222222222222,86.6,89.2,89.46666666666667
14,14,89.67777777777778,89.63333333333334,86.56111111111112,87.11666666666666,89.43148148148148,89.63333333333334
15,15,89.99074074074075,89.93333333333334,86.94074074074074,87.43333333333334,89.8,89.86666666666666
