,epoch,Initial Train Accuracy,Initial Test Accuracy,Growth Train Accuracy,Growth Test Accuracy,Final Train Accuracy,Final Test Accuracy
0,0,29.59259259259259,29.85,29.553703703703704,29.933333333333334,26.44814814814815,26.166666666666668
1,1,43.464814814814815,43.4,43.37777777777778,43.03333333333333,49.83518518518518,49.8
2,2,54.166666666666664,53.5,54.25555555555555,53.78333333333333,65.51481481481481,65.68333333333334
3,3,71.01666666666667,70.55,58.00370370370371,57.21666666666667,76.05925925925926,75.8
4,4,78.41666666666667,78.11666666666666,61.181481481481484,60.63333333333333,81.3462962962963,81.23333333333333
5,5,82.92037037037036,82.18333333333334,63.775925925925925,63.3,84.23703703703704,84.31666666666666
6,6,84.87222222222222,84.41666666666667,66.17962962962963,65.76666666666667,86.08518518518518,85.95
7,7,86.4888888888889,86.1,68.24074074074075,67.83333333333333,87.30740740740741,87.1
8,8,87.32962962962964,86.75,70.18888888888888,69.88333333333334,88.08888888888889,88.4
9,9,88.34444444444445,87.96666666666667,71.78148148148148,71.43333333333334,88.83703703703704,88.96666666666667
10,10,88.92222222222222,88.85,73.21666666666667,73.3,89.36666666666666,89.45
11,11,89.27407407407408,89.18333333333334,74.46296296296296,74.08333333333333,89.8,89.6
12,12,89.68888888888888,89.55,75.51296296296296,75.25,90.3,89.91666666666667
13,13,90.02222222222223,89.76666666666667,76.48518518518519,76.01666666666667,90.49814814814815,90.16666666666667
14,14,90.38518518518518,90.05,77.32592592592593,76.68333333333334,90.80740740740741,90.48333333333333
15,15,90.62777777777778,90.4,78.05925925925926,77.61666666666666,90.99074074074075,90.8
